Index,Ground Truth,Unnamed: 2,Unnamed: 3,video,index,estimated speed,Unnamed: 7,error,Metric
320.0,22.0,,,part 5,1,24,,9.090909091,
321.0,21.0,,,part 5,2,24,,14.28571429,
325.0,28.0,,,part 5,4,28,,0.0,
340.0,23.0,,,part 5,11,21,,8.695652174,
371.0,23.0,,,part 5,18,21,,8.695652174,
383.0,36.0,,,part 5,23,32,,11.11111111,
393.0,23.0,,,part 5,28,25,,8.695652174,
403.0,20.0,,,part 5,data tidak ada,data tidak ada,,,
,2.142857142857143,,,,,,,,MAE
,2.4201534780139164,,,,,,,,RMSE
,8.653527287067659,,,,,,,,MAPE
,0.7542808219178082,,,,,,,,R2
