Index,Ground Truth,Unnamed: 2,Unnamed: 3,video,index,estimated speed,Unnamed: 7,error,Metric
3,23.0,,,part 1,1,21,,8.695652174,
23,40.0,,,part 1,9,25,,37.5,
51,45.0,,,part 1,16,20,,55.55555556,
109,24.0,,,part 2,4,24,,0.0,
112,24.0,,,part 2,6,23,,4.166666667,
118,18.0,,,part 2,8,20,,11.11111111,
134,18.0,,,part 2,14,19,,5.555555556,
155,25.0,,,part 2,16,25,,0.0,
161,18.0,,,part 2,17,18,,0.0,
171,25.0,,,part 2,18,25,,0.0,
185,21.0,,,part 3,5,14,,33.33333333,
203,26.0,,,part 3,12,25,,3.846153846,
242,25.0,,,part 3,21,25,,0.0,
285,26.0,,,part 4,6,21,,19.23076923,
286,22.0,,,part 4,7,21,,4.545454545,
308,31.0,,,part 4,15,28,,9.677419355,
320,22.0,,,part 5,1,22,,0.0,
321,21.0,,,part 5,2,21,,0.0,
325,28.0,,,part 5,4,28,,0.0,
340,23.0,,,part 5,15,18,,21.73913043,
371,23.0,,,part 5,22,21,,8.695652174,
383,36.0,,,part 5,27,25,,30.55555556,
393,23.0,,,part 5,28,21,,8.695652174,
403,20.0,,,part 5,data tidak ada,data tidak ada,,,
,3.608695652173913,,,,,,,,MAE
,6.912496560263316,,,,,,,,RMSE
,11.430593987457211,,,,,,,,MAPE
,-0.09709201388888866,,,,,,,,R2
