Index,L/R,Ground Truth,Unnamed: 3,Unnamed: 4,video,index,estimated speed,Unnamed: 8,error,Metric
55,L,18.0,,,part 1,3,18,,0.0,
89,L,21.0,,,part 1,5,21,,0.0,
93,L,23.0,,,part 1,6,21,,8.695652174,
193,R,22.0,,,part 2,3,21,,4.545454545,
363,L,24.0,,,part 3,1,25,,4.166666667,
413,L,29.0,,,part 3,3,25,,13.79310345,
429,R,24.0,,,part 4,2,18,,25.0,
431,R,22.0,,,part 3,4,21,,4.545454545,
437,R,19.0,,,part 4,3,14,,26.31578947,
438,L,20.0,,,part 3,8,18,,10.0,
462,L,27.0,,,part 4,4,25,,7.407407407,
481,L,20.0,,,part 4,6,21,,5.0,
486,R,23.0,,,part 4,7,21,,8.695652174,
530,R,31.0,,,part 4,8,28,,9.677419355,
553,L,27.0,,,part 4,8,25,,7.407407407,
590,R,23.0,,,part 4,13,18,,21.73913043,
592,L,27.0,,,part 4,15,28,,3.703703704,
610,R,18.0,,,part 4,16,14,,22.22222222,
616,R,23.0,,,part 4,14,18,,21.73913043,
627,L,21.0,,,part 4,18,21,,0.0,
670,L,23.0,,,part 5,2,21,,8.695652174,
717,L,27.0,,,part 5,3,25,,7.407407407,
,,2.3181818181818183,,,,,,,,MAE
,,2.8998432559521055,,,,,,,,RMSE
,,10.034420616992136,,,,,,,,MAPE
,,0.28395496129486275,,,,,,,,R2
