Index,L/R,Ground Truth,,,video,index,estimasi,,error
222,R,23,,,part 1,4,24,,4.347826087
224,R,25,,,part 1,3,25,,0
241,L,25,,,part 1,5,25,,0
249,L,23,,,part 1,6,25,,8.695652174
258,L,20,,,part 1,8,21,,5
350,L,28,,,part 2,1,28,,0
369,R,22,,,part 2,3,21,,4.545454545
372,R,23,,,part 2,4,28,,21.73913043
452,R,19,,,part 3,3,20,,5.263157895
507,L,17,,,part 3,8,18,,5.882352941
518,L,18,,,part 3,11,18,,0
540,L,20,,,part 4,1,21,,5
568,R,23,,,part 4,3,24,,4.347826087
570,L,18,,,part 4,14,18,,0
583,L,18,,,part 4,16,18,,0
730,R,22,,,part 5,7,28,,27.27272727
747,L,26,,,part 5,10,26,,0
755,R,28,,,part 5,11,28,,0
